1174-4-1,'Animal transport vehicle approval (Northern Ireland)',false,false,false,true
706-1-1,'Cattle movement notification (England)',true,false,false,false
1175-4-1,'Animal transporter authorisation (Northern Ireland)',false,false,false,true
746-4-1,'Caravan Site Licence (Northern Ireland)',false,false,false,true
9255-5-1,'Camping site licence (England and Wales)',true,false,true,false
1351-1-1,'Childminder Registration (England)',true,false,false,false
9256-7-1,'Licence to show unlimited films in public (All UK)',true,true,true,true
860-5-1,'Premises licence (England & Wales)',true,false,true,false
1071-5-1,'Temporary event notice (England & Wales)',true,false,true,false
860-3-1,'Premises licence (Scotland)',false,true,false,false
393-4-1,'Entertainment licence (Northern Ireland)',false,false,false,true
9257-7-1,'Licence to show a single film title in public (All UK) ',true,true,true,true
9258-5-1,'Hazardous waste producer registration (England & Wales)',true,false,true,false
9259-7-1,'Control of major accident hazards notification (All UK)',true,true,true,true
9260-3-1,'Discharge of trade effluent consent (Scotland)',false,true,false,false
9261-5-1,'Environmental permits and exemptions issued by the Environment Agency (England and Wales)',true,false,true,false
1280-5-1,'Environmental permit for discharges to surface water or groundwater (England & Wales)',true,false,true,false
9262-6-1,'Dog breeding licence (England, Scotland & Wales)',true,true,true,false
9263-7-1,'Fireworks manufacture and storage registration (All UK)',true,true,true,true
9264-4-1,'Explosives licence (Northern Ireland)',false,false,false,true
9265-7-1,'Explosives on vessels and in harbours licence (all UK)',true,true,true,true
9048-7-1,'Registration of sheep holdings (All UK)',true,true,true,true
9049-7-1,'Wool marketing board registration (All UK)',true,true,true,true
9050-4-1,'Fish dealer licence (Northern Ireland)',false,false,false,true
9051-1-1,'Notification of marketing of food for particular nutritional uses (England)',true,false,false,false
9052-3-1,'Egg packing centre registration (Scotland)',false,true,false,false
1293-1-1,'Food premises approval (All UK)',true,true,true,true
9053-6-1,'Goods vehicle operator licence (England, Scotland & Wales)',true,true,true,false
9054-4-1,'International road freight operators licence (Northern Ireland)',false,false,false,true
9055-4-1,'National road freight operators licence (Northern Ireland)',false,false,false,true
694-4-1,'Hairdresser registration (Northern Ireland)',false,false,false,true
647-5-1,'Street collection licence (England & Wales)',true,false,true,false
648-4-1,'House to house charitable collections licence (Northern Ireland)',false,false,false,true
648-5-1,'House-to-house collections licence (England, Scotland & Wales)',true,true,true,false
9056-5-1,'Notification of imports of live shellfish from within the EU (England & Wales)',true,false,true,false
9057-5-1,'Licence to keep non-native crayfish (England & Wales)',true,false,true,false
9058-5-1,'Notification of imports of live fish from within the European Union (England & Wales)',true,false,true,false
9059-7-1,'Licence to use music on the radio (All UK)',true,true,true,true
9060-7-1,'Licence to provide ringtones for downloading (All UK)',true,true,true,true
9061-7-1,'Music licences for physical products (All UK)',true,true,true,true
9062-7-1,'Licences to use music on television (All UK)',true,true,true,true
9063-7-1,'Licences to use music online or on mobile technology (All UK)',true,true,true,true
9064-7-1,'Licence to hold clinical trials (All UK)',true,true,true,true
9065-7-1,'Wholesale dealer's authorisation for veterinary medicines (All UK)',true,true,true,true
9066-7-1,'Marketing authorisation of veterinary medicines (All UK)',true,true,true,true
1213-7-1,'Farrier registration (England, Scotland & Wales)',true,true,true,false
9067-5-1,'Impoundment licence (England & Wales)',true,false,true,false
1222-3-1,'Independent school registration (Scotland)',false,true,false,false
9068-5-1,'Independent school (under compulsory school age) registration (England)',true,false,true,false
1211-3-1,'Executry practitioner registration (Scotland)',false,true,false,false
9069-3-1,'Conveyancing practitioner registration (Scotland)',false,true,false,false
679-5-1,'Car boot sale or other temporary market authorisation (England & Wales)',true,false,true,false
9070-5-1,'Market stall licence (England & Wales)',true,false,true,false
400-5-1,'Street trader's licence (England & Wales)',true,false,true,false
400-3-1,'Street trading licence (Scotland)',false,true,false,false
400-4-1,'Street trading licence (Northern Ireland)',false,false,false,true
1296-4-1,'Premises approval for civil marriage or civil partnership ceremonies (Northern Ireland)',false,false,false,true
1296-5-1,'Wedding and civil ceremony premises approval (England & Wales)',true,false,true,false
1294-5-1,'Massage and special treatments, therapist registration (England & Wales)',true,false,true,false
680-4-1,'Cosmetic piercing registration (Northern Ireland)',false,false,false,true
1227-2-1,'Laser or intense pulsed light treatment registration (England & Wales)',true,false,true,false
